stock_price	gold_price
3.230425963	9.402434077
2.992936803	8.987918216
2.194024605	10.12038664
2.602475248	9.367326733
2.963496933	8.708742331
4.224242424	8.494214876
7.433980583	8.739684466
5.060836084	8.609680968
3.903316062	7.552746114
4.260542169	9.834538153
3.469489894	9.406448508
2.948513011	10.62239777
3.354562044	13.12062044
3.930105634	15.05096831
3.693491124	13.39932375
3.076129032	15.34967742
2.93427697	14.83909717
2.65866373	16.0185022
2.450605845	17.25951532
2.489757785	18.26269896
2.591093117	18.13103914
2.520800525	20.20052493
2.471446781	24.1376673
2.062429907	30.07694704
1.805153374	35.69484663
1.67394958	39.29657863
1.620847851	39.52317073
1.547374365	36.12563523
1.72167871	31.0110617
1.974891304	29.60809783
2.168978295	35.00592906
2.277214542	37.62928827
2.993353175	41.45828373
